age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
40,Self-emp-not-inc,165484.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,5178,0,40,United-States,>50K
40,Private,119793.0,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
59,Self-emp-inc,139268.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
30,Private,352771.0,HS-grad,9,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
48,Self-emp-not-inc,217161.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
19,Self-emp-not-inc,182117.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K
45,Self-emp-not-inc,299813.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,Dominican-Republic,<=50K
35,State-gov,199058.0,Bachelors,13,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
34,Private,30067.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,252662.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,0,0,30,United-States,<=50K
38,Local-gov,102771.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,60,Philippines,<=50K
49,?,286750.0,Assoc-acdm,12,Widowed,?,Unmarried,White,Female,0,0,2,United-States,<=50K
33,Private,133582.0,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
26,?,41374.0,Bachelors,13,Married-civ-spouse,?,Wife,Black,Female,0,0,30,United-States,<=50K
45,Private,114691.0,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,45,United-States,>50K
49,Private,362883.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
21,?,99179.0,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,12,United-States,<=50K
30,Private,202286.0,12th,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,279183.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,42,United-States,>50K
27,Private,185885.0,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
36,Private,174319.0,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,24,United-States,<=50K
40,Private,119234.0,11th,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
52,Private,187700.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K
23,Private,204682.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,Japan,<=50K
57,Private,163921.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,90907.0,10th,6,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
26,Private,188888.0,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Other,Male,0,0,40,United-States,<=50K
40,Private,312017.0,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,Germany,<=50K
17,?,162096.0,12th,8,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,20,China,<=50K
20,Local-gov,165226.0,HS-grad,9,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
25,Private,281209.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
23,State-gov,169482.0,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
71,Private,189530.0,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,144172.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
48,Private,220789.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
43,Local-gov,178054.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,?,>50K
42,State-gov,188888.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,45,United-States,<=50K
48,Private,114520.0,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,45607.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,198759.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States,<=50K
30,Private,148626.0,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,>50K
26,Private,227146.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,90298.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Canada,<=50K
52,Private,89622.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
24,Private,165694.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
38,Private,162238.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,7688,0,55,United-States,>50K
30,State-gov,270985.0,Bachelors,13,Separated,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
50,Private,210525.0,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,39,United-States,<=50K
49,Private,95472.0,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
51,Private,205941.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
43,Local-gov,110946.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,36,United-States,<=50K
38,Private,385242.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
53,Private,238384.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,>50K
46,Private,38434.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
49,Private,251305.0,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,262024.0,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,25,United-States,<=50K
27,Local-gov,271933.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
41,Federal-gov,125856.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
49,Private,32732.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,30,United-States,<=50K
69,Private,373986.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,52,United-States,<=50K
38,Private,105363.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K
33,Private,53037.0,Masters,14,Divorced,Exec-managerial,Not-in-family,Black,Female,4650,0,50,United-States,<=50K
31,Private,407338.0,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,48,United-States,<=50K
24,Private,311269.0,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,<=50K
39,State-gov,192569.0,Bachelors,13,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
44,State-gov,255693.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K
31,Federal-gov,168103.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K
27,Private,306779.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,0,0,30,United-States,>50K
48,Self-emp-inc,95455.0,12th,8,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
56,Local-gov,41763.0,Some-college,10,Separated,Craft-repair,Not-in-family,White,Female,0,0,50,United-States,<=50K
29,Self-emp-not-inc,176839.0,10th,6,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,48,United-States,<=50K
47,Self-emp-not-inc,279178.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
46,Self-emp-inc,364832.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
67,?,99065.0,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,Poland,<=50K
17,?,188096.0,12th,8,Never-married,?,Own-child,White,Male,0,0,25,United-States,<=50K
36,Private,168191.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,?,>50K
73,Private,127651.0,HS-grad,9,Widowed,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
39,?,32718.0,Assoc-acdm,12,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
53,Private,118523.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
19,?,155362.0,Some-college,10,Never-married,?,Own-child,White,Male,0,0,16,United-States,<=50K
57,Private,42186.0,11th,7,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
36,?,181721.0,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
30,Private,25932.0,9th,5,Married-civ-spouse,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
51,Private,31510.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
28,Private,75024.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Canada,<=50K
21,Private,160362.0,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,30,United-States,<=50K
46,Private,206078.0,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
39,Private,106595.0,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
41,Private,188540.0,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
29,Private,280422.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,Peru,>50K
43,Private,230684.0,11th,7,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,48,United-States,<=50K
45,?,126701.0,11th,7,Widowed,?,Unmarried,White,Female,0,0,30,United-States,<=50K
18,?,130812.0,11th,7,Never-married,?,Own-child,White,Male,0,0,48,United-States,<=50K
25,Private,103582.0,HS-grad,9,Never-married,Other-service,Other-relative,Other,Male,0,0,45,Mexico,<=50K
50,Private,176335.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,<=50K
41,Private,30457.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K
26,State-gov,422813.0,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,<=50K
45,State-gov,266138.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,?,<=50K
19,State-gov,285432.0,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,50,United-States,<=50K
34,Private,142501.0,Some-college,10,Separated,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
36,Private,105252.0,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
52,Private,34408.0,Some-college,10,Divorced,Tech-support,Other-relative,White,Male,4064,0,40,United-States,<=50K
18,Private,185127.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K
57,Private,125487.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,311269.0,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
26,Private,496743.0,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,15,United-States,<=50K
22,Private,250802.0,Bachelors,13,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K
48,Private,42582.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
18,Private,285020.0,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
66,Private,216666.0,Bachelors,13,Widowed,Sales,Not-in-family,White,Male,0,0,20,Mexico,<=50K
23,?,37402.0,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,103064.0,11th,7,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
61,Private,99185.0,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
20,Private,119793.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
25,Private,478315.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
27,State-gov,74775.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Ireland,<=50K
22,Private,440969.0,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,25,United-States,<=50K
34,Private,130807.0,Bachelors,13,Divorced,Tech-support,Own-child,Black,Female,0,0,40,United-States,<=50K
44,Local-gov,116608.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
17,?,63910.0,9th,5,Never-married,?,Other-relative,White,Male,0,0,30,United-States,<=50K
21,?,241259.0,11th,7,Never-married,?,Own-child,White,Female,0,0,52,United-States,<=50K
52,Private,121012.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
50,Private,343190.0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,8614,0,45,United-States,>50K
49,Private,133602.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,<=50K
30,Private,72887.0,Assoc-acdm,12,Divorced,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
51,Private,222654.0,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Federal-gov,309513.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,20,United-States,>50K
41,Private,278557.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
26,Private,36214.0,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
32,Private,95455.0,HS-grad,9,Separated,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,Private,237478.0,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
53,Private,201624.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,60,?,<=50K
34,Private,182451.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
61,Private,210525.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
33,Private,91189.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,198587.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,41,United-States,<=50K
51,Private,170800.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
21,Private,307837.0,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,370795.0,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
74,Private,240063.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
52,Private,749636.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
22,Private,108670.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
27,Private,194059.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
32,Private,99150.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,44,United-States,<=50K
25,Private,101017.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,State-gov,219619.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,10,United-States,<=50K
40,Private,49893.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,171876.0,11th,7,Never-married,Sales,Own-child,White,Female,0,0,38,United-States,<=50K
23,?,349368.0,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,55,United-States,<=50K
41,Private,20191.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1740,65,?,<=50K
23,?,358682.0,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,?,<=50K
31,Private,318351.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,194630.0,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0,0,28,United-States,<=50K
41,Private,266912.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
63,Private,209230.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,16,United-States,<=50K
38,Private,189219.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,>50K
28,Private,231714.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
48,State-gov,133299.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
70,State-gov,212800.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,55,United-States,>50K
34,State-gov,75742.0,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
34,Local-gov,43354.0,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,3103,0,40,United-States,>50K
35,Private,47176.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
39,State-gov,164190.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K
64,Private,235358.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,35,United-States,<=50K
23,Private,260696.0,HS-grad,9,Never-married,Farming-fishing,Other-relative,White,Female,0,0,72,United-States,<=50K
52,Local-gov,170070.0,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
37,Private,113198.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,348152.0,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,41,United-States,<=50K
57,Private,135242.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
38,Local-gov,111589.0,Bachelors,13,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,60,Jamaica,<=50K
39,Private,119409.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,7688,0,40,Columbia,>50K
28,Private,261055.0,Prof-school,15,Separated,Prof-specialty,Not-in-family,White,Female,0,0,55,United-States,<=50K
30,Self-emp-inc,122038.0,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,3411,0,20,United-States,<=50K
29,Private,211585.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,38,United-States,<=50K
47,Self-emp-not-inc,24631.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
59,State-gov,462966.0,Bachelors,13,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,El-Salvador,<=50K
35,Private,182117.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,35,United-States,<=50K
36,Federal-gov,462966.0,Bachelors,13,Divorced,Exec-managerial,Other-relative,White,Female,0,0,40,El-Salvador,<=50K
68,Private,161155.0,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,State-gov,45607.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,31621.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
47,Private,174163.0,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
43,State-gov,252565.0,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
29,Private,153416.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45,United-States,>50K
45,Private,22107.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,55,United-States,>50K
34,Private,263307.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,3411,0,45,?,<=50K
42,Local-gov,125933.0,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,<=50K
34,Private,36214.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
42,Federal-gov,421871.0,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,<=50K
52,Federal-gov,167482.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,>50K
50,Federal-gov,350387.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Private,255191.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7688,0,40,United-States,>50K
22,Private,95455.0,Bachelors,13,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
24,Private,268952.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K
62,Private,193047.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,43,United-States,<=50K
37,Private,51264.0,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
48,Federal-gov,509100.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,15,United-States,<=50K
58,Private,424719.0,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,>50K
52,Self-emp-inc,237934.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,118806.0,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,28,Columbia,<=50K
52,Private,111885.0,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
35,Private,43895.0,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K
34,Private,103651.0,HS-grad,9,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K
29,Private,141858.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,45,United-States,<=50K
25,Private,29402.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,55,United-States,<=50K
28,Private,213308.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,2635,0,55,United-States,<=50K
34,Self-emp-not-inc,230875.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
61,Self-emp-inc,102766.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
30,Self-emp-inc,350387.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
35,Private,232894.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
49,Local-gov,24712.0,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
33,Federal-gov,114844.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,48,United-States,>50K
32,Private,22055.0,10th,6,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,50,United-States,<=50K
44,Self-emp-inc,201603.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
48,Federal-gov,136873.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
63,Self-emp-inc,235340.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,<=50K
48,Private,196396.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,206986.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,40,United-States,>50K
40,Local-gov,211804.0,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,Private,334039.0,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,225024.0,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
27,State-gov,273640.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
43,Private,221533.0,Some-college,10,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
31,Self-emp-not-inc,704108.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
33,Private,194901.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,55,United-States,<=50K
31,Private,78615.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Private,242984.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,65,United-States,<=50K
29,Private,40937.0,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
17,Private,370795.0,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
37,Private,28796.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,<=50K
58,Self-emp-not-inc,186573.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
61,State-gov,240283.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,50,United-States,<=50K
32,Private,197752.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,<=50K
30,Local-gov,255191.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
34,State-gov,198686.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,55,United-States,<=50K
36,Self-emp-not-inc,175339.0,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K
29,Private,303588.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
41,Private,140985.0,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
